<keywords>=桃 花 * 甘 露 * senLen = 5	1
 ||| 灼 灼 浓 于 酒 ||| -28.076224 -19.446143 ||| -21.083473 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 先 瑞 雪 临 风 ||| -32.378814 -34.100771 ||| -31.951266 ||| AZZPP ||| AZZPP ||| 1
 ||| 甘 若 饴 夭 夭 ||| -39.839089 -31.619588 ||| -31.975495 ||| PZPAA ||| AZPPZ ||| 0
 ||| 浓 于 酒 茜 裙 ||| -35.991848 -32.119582 ||| -31.977716 ||| PPZZP ||| PPZZP ||| 3
 ||| 浓 于 酒 武 陵 ||| -36.072683 -32.103760 ||| -31.980282 ||| PPZZP ||| PPZZP ||| 3
 ||| 甘 若 饴 甘 溢 ||| -38.542657 -33.209535 ||| -32.030100 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 含 晓 露 夭 夭 ||| -36.867123 -31.462819 ||| -32.039762 ||| PZZAA ||| AZZPP ||| 1
 ||| 蜂 蝶 使 凝 脂 ||| -33.417462 -31.082857 ||| -32.042721 ||| PZZPP ||| AZZPP ||| 1
 ||| 浓 于 酒 若 饴 ||| -35.010576 -32.212973 ||| -32.098248 ||| PPZZP ||| PPZZP ||| 3
 ||| 艳 不 同 烂 熳 ||| -33.162386 -32.574374 ||| -32.178479 ||| ZAAZA ||| APPZZ ||| 2
 ||| 先 瑞 雪 妖 娆 ||| -32.277157 -35.975699 ||| -32.255394 ||| AZZPA ||| AZZPP ||| 1
 ||| 照 日 比 祥 云 ||| -31.548335 -35.298568 ||| -32.283405 ||| ZZZPP ||| AZZPP ||| 1
 ||| 先 瑞 雪 园 中 ||| -31.541992 -35.214117 ||| -32.291223 ||| AZZPA ||| AZZPP ||| 1
 ||| 蜂 蝶 使 凝 烟 ||| -33.267244 -31.608931 ||| -32.323472 ||| PZZPP ||| AZZPP ||| 1
 ||| 渐 流 霞 玉 佩 ||| -30.778845 -34.743172 ||| -32.324680 ||| APPZZ ||| APPZZ ||| 2
 ||| 绮 罗 丛 剪 锦 ||| -34.377546 -33.214949 ||| -32.345316 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 映 日 ||| -34.290280 -33.430395 ||| -32.356985 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 神 浆 ||| -33.733349 -34.614122 ||| -32.417120 ||| PZZPP ||| AZZPP ||| 1
 ||| 甘 若 饴 膏 被 ||| -39.461239 -36.202046 ||| -32.417231 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 滴 金 盘 夭 夭 ||| -34.347030 -33.322695 ||| -32.428321 ||| ZPPAA ||| APPZZ ||| 2
 ||| 含 晓 露 裁 绡 ||| -34.680851 -32.939156 ||| -32.499589 ||| PZZPP ||| AZZPP ||| 1
 ||| 枝 间 留 紫 燕 ||| -33.036696 -32.812871 ||| -32.541309 ||| PAPZA ||| APPZZ ||| 2
 ||| 滴 金 盘 宝 瓮 ||| -33.494217 -36.628732 ||| -32.567341 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 先 瑞 雪 成 蹊 ||| -32.090639 -35.104162 ||| -32.581486 ||| AZZPP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 红 葩 ||| -33.244816 -32.495040 ||| -32.582930 ||| PZZPP ||| AZZPP ||| 1
 ||| 含 晓 露 仙 园 ||| -34.225948 -34.775863 ||| -32.673020 ||| PZZPP ||| AZZPP ||| 1
 ||| 先 瑞 雪 芳 姿 ||| -31.615750 -36.691629 ||| -32.681140 ||| AZZPP ||| AZZPP ||| 1
 ||| 第 一 花 唐 苑 ||| -36.146800 -32.296908 ||| -32.686726 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 烂 熳 凝 风 草 ||| -31.155495 -37.204101 ||| -32.693643 ||| ZAPPZ ||| AZPPZ ||| 0
 ||| 类 浣 纱 无 主 ||| -35.732307 -33.023009 ||| -32.726527 ||| ZAPPZ ||| AZPPZ ||| 0
 ||| 灼 灼 凝 风 草 ||| -32.494945 -37.172132 ||| -32.739515 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 第 一 花 膏 被 ||| -33.543093 -34.375538 ||| -32.775915 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 滴 金 盘 剪 锦 ||| -35.637569 -34.991005 ||| -32.800228 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 甘 若 饴 垂 木 ||| -41.321696 -32.810591 ||| -32.829501 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 珠 联 ||| -34.387004 -32.216380 ||| -32.835146 ||| PZZPP ||| AZZPP ||| 1
 ||| 艳 不 同 灼 灼 ||| -33.783637 -33.582927 ||| -32.870953 ||| ZAAZZ ||| APPZZ ||| 2
 ||| 浓 于 酒 润 垂 ||| -35.804454 -34.893425 ||| -32.979967 ||| PPZZP ||| PPZZP ||| 3
 ||| 玉 聚 通 仙 馆 ||| -31.295892 -36.744356 ||| -32.987365 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 玉 佩 凝 风 草 ||| -32.306364 -37.124589 ||| -33.022176 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 神 浆 ||| -33.677509 -33.460808 ||| -33.027777 ||| PZZPP ||| AZZPP ||| 1
 ||| 微 醉 日 烟 滋 ||| -31.690406 -36.768775 ||| -33.075116 ||| PZZPP ||| AZZPP ||| 1
 ||| 第 一 花 甘 溢 ||| -32.890766 -34.656659 ||| -33.092904 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 润 垂 含 晓 露 ||| -34.599027 -33.985559 ||| -33.112385 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 凝 处 未 央 秋 ||| -30.662459 -38.617043 ||| -33.117720 ||| PZZPP ||| AZZPP ||| 1
 ||| 烟 滋 微 醉 日 ||| -32.210363 -34.996749 ||| -33.126178 ||| PPPZZ ||| APPZZ ||| 2
 ||| 先 瑞 雪 华 池 ||| -32.825468 -35.299477 ||| -33.130400 ||| AZZAP ||| AZZPP ||| 1
 ||| 先 瑞 雪 不 言 ||| -34.777562 -34.433767 ||| -33.193379 ||| AZZAP ||| AZZPP ||| 1
 ||| 浓 于 酒 映 霞 ||| -36.237542 -33.326122 ||| -33.212565 ||| PPZZP ||| PPZZP ||| 3
 ||| 先 瑞 雪 金 茎 ||| -32.268124 -36.671809 ||| -33.254066 ||| AZZPP ||| AZZPP ||| 1
 ||| 烟 滋 先 瑞 雪 ||| -33.193199 -36.287473 ||| -33.286771 ||| PPAZZ ||| APPZZ ||| 2
 ||| 笑 春 风 宝 瓮 ||| -34.399882 -33.213328 ||| -33.297450 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 含 晓 露 甘 流 ||| -36.243083 -35.312401 ||| -33.312407 ||| PZZPP ||| AZZPP ||| 1
 ||| 滴 金 盘 似 笑 ||| -34.245668 -35.436266 ||| -33.343545 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 第 一 花 琼 爵 ||| -32.711737 -36.268171 ||| -33.352181 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 脂 凝 仙 掌 润 ||| -35.882200 -33.887361 ||| -33.361114 ||| PPPZZ ||| APPZZ ||| 2
 ||| 浓 于 酒 瘦 红 ||| -35.447379 -34.940977 ||| -33.362691 ||| PPZZP ||| PPZZP ||| 3
 ||| 蜂 蝶 使 灵 滋 ||| -34.763580 -34.072865 ||| -33.384475 ||| PZZPP ||| AZZPP ||| 1
 ||| 滴 金 盘 应 瑞 ||| -35.351086 -34.303645 ||| -33.392453 ||| ZPPAZ ||| APPZZ ||| 2
 ||| 烟 滋 蜂 蝶 使 ||| -35.332031 -33.582210 ||| -33.416219 ||| PPPZZ ||| APPZZ ||| 2
 ||| 艳 不 同 照 水 ||| -35.851425 -32.451618 ||| -33.427727 ||| ZAAZZ ||| APPZZ ||| 2
 ||| 烂 熳 类 浣 纱 ||| -36.278891 -32.948796 ||| -33.506156 ||| ZAZAP ||| AZZPP ||| 1
 ||| 蜂 蝶 使 甘 流 ||| -36.658545 -34.728112 ||| -33.512766 ||| PZZPP ||| AZZPP ||| 1
 ||| 先 瑞 雪 红 葩 ||| -32.075528 -39.143642 ||| -33.528128 ||| AZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 雨 濯 ||| -37.470773 -32.302024 ||| -33.529941 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 灼 灼 类 浣 纱 ||| -36.710202 -32.916828 ||| -33.579196 ||| ZZZAP ||| AZZPP ||| 1
 ||| 照 日 凝 风 草 ||| -32.664685 -37.702703 ||| -33.589454 ||| ZZPPZ ||| AZPPZ ||| 0
 ||| 滴 金 盘 愈 疾 ||| -40.986390 -32.391325 ||| -33.598319 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 蜂 蝶 使 成 甘 ||| -35.039698 -34.655747 ||| -33.712111 ||| PZZPP ||| AZZPP ||| 1
 ||| 玉 佩 类 浣 纱 ||| -35.708706 -33.409584 ||| -33.714264 ||| ZZZAP ||| AZZPP ||| 1
 ||| 滴 金 盘 润 叶 ||| -34.524111 -37.079002 ||| -33.837897 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 甘 若 饴 应 瑞 ||| -41.649347 -33.597640 ||| -33.887330 ||| PZPAZ ||| AZPPZ ||| 0
 ||| 甘 若 饴 仁 泽 ||| -41.938552 -34.289850 ||| -33.903929 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 蜂 蝶 使 灵 浆 ||| -35.077988 -36.243826 ||| -33.916584 ||| PZZPP ||| AZZPP ||| 1
 ||| 绮 罗 丛 宝 瓮 ||| -38.142678 -33.152398 ||| -33.937599 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 甘 若 饴 神 液 ||| -40.603361 -35.351467 ||| -34.067431 ||| PZPPZ ||| AZPPZ ||| 0
 ||| 微 醉 日 灵 滋 ||| -33.285978 -37.110958 ||| -34.109798 ||| PZZPP ||| AZZPP ||| 1
 ||| 润 垂 蜂 蝶 使 ||| -32.882109 -37.648134 ||| -34.140336 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 带 雨 深 兼 浅 ||| -32.709852 -38.156604 ||| -34.169461 ||| ZZAPZ ||| AZPPZ ||| 0
 ||| 艳 不 同 照 日 ||| -37.344734 -32.786105 ||| -34.359941 ||| ZAAZZ ||| APPZZ ||| 2
 ||| 禹 锡 诗 和 气 ||| -36.585247 -34.744956 ||| -34.441256 ||| ZZPAZ ||| AZPPZ ||| 0
 ||| 先 瑞 雪 烟 滋 ||| -33.291139 -39.818798 ||| -34.580071 ||| AZZPP ||| AZZPP ||| 1
 ||| 先 瑞 雪 成 甘 ||| -33.085056 -40.056992 ||| -34.590124 ||| AZZPP ||| AZZPP ||| 1
 ||| 鲛 人 碎 泣 珠 ||| -34.850728 -37.606446 ||| -34.669366 ||| PPZZP ||| PPZZP ||| 3
 ||| 笑 春 风 讶 蜜 ||| -33.799246 -37.809209 ||| -34.688894 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 蜂 蝶 使 烟 滋 ||| -35.097489 -34.872842 ||| -34.708789 ||| PZZPP ||| AZZPP ||| 1
 ||| 酥 胸 酣 暖 日 ||| -34.164404 -38.078003 ||| -34.897006 ||| PPPZZ ||| APPZZ ||| 2
 ||| 滴 金 盘 雨 濯 ||| -37.340776 -35.622084 ||| -35.061519 ||| ZPPZZ ||| APPZZ ||| 2
 ||| 凝 风 草 暖 风 ||| -35.064011 -37.335691 ||| -35.421995 ||| PPZZP ||| PPZZP ||| 3
 ||| 浓 于 酒 揭 云 ||| -38.099361 -37.263133 ||| -35.647394 ||| PPZZP ||| PPZZP ||| 3



<keywords>=桃 花 * 甘 露 * senLen = 7	2
 ||| 十 分 春 色 浓 于 酒 ||| -29.986554 -22.844782 ||| -25.030988 ||| ZAPZPPZ ||| APAZPPZ ||| 1
 ||| 倾 国 倾 城 第 一 花 ||| -31.468917 -26.281607 ||| -25.889353 ||| PZPPZZP ||| AZPPZZP ||| 2
 ||| 十 分 春 色 笑 春 风 ||| -28.326958 -26.917956 ||| -26.570921 ||| ZAPZZPP ||| APAZZPP ||| 0
 ||| 倾 国 倾 城 艳 不 同 ||| -38.539887 -25.406193 ||| -27.556972 ||| PZPPZAA ||| AZPPZZP ||| 2
 ||| 十 分 春 色 绮 罗 丛 ||| -32.853516 -30.097542 ||| -29.014331 ||| ZAPZZPP ||| APAZZPP ||| 0
 ||| 玉 佩 凌 空 沆 瀣 清 ||| -31.296910 -29.908100 ||| -29.186792 ||| ZZPAZZP ||| AZPPZZP ||| 2
 ||| 十 分 春 色 滴 金 盘 ||| -31.383673 -31.827574 ||| -29.770448 ||| ZAPZZPP ||| APAZZPP ||| 0
 ||| 乍 雨 乍 晴 含 晓 露 ||| -34.637135 -30.936028 ||| -29.825955 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 十 分 春 色 无 双 艳 ||| -30.720300 -34.315682 ||| -29.959019 ||| ZAPZPPZ ||| APAZPPZ ||| 1
 ||| 倾 国 倾 城 含 晓 露 ||| -38.052171 -28.368728 ||| -29.988217 ||| PZPPPZZ ||| AZAPPZZ ||| 3
 ||| 十 分 春 色 渐 流 霞 ||| -31.267412 -30.946081 ||| -30.104157 ||| ZAPZAPP ||| APAZZPP ||| 0
 ||| 十 分 春 色 艳 不 同 ||| -32.823941 -29.628492 ||| -30.205977 ||| ZAPZZAA ||| APAZZPP ||| 0
 ||| 凌 空 沆 瀣 清 和 气 ||| -32.672495 -32.741668 ||| -30.320695 ||| PAZZPAZ ||| APAZPPZ ||| 1
 ||| 临 风 烂 熳 笑 春 风 ||| -29.482932 -34.896182 ||| -30.553033 ||| PPZAZPP ||| APAZZPP ||| 0
 ||| 一 种 天 香 第 一 花 ||| -34.022836 -29.531531 ||| -30.567041 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 十 分 春 色 通 仙 馆 ||| -31.385403 -32.338489 ||| -30.657084 ||| ZAPZPPZ ||| APAZPPZ ||| 1
 ||| 凌 空 沆 瀣 清 无 主 ||| -32.727174 -34.617747 ||| -31.170537 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 烂 熳 凌 空 沆 瀣 清 ||| -33.965569 -33.405763 ||| -31.249224 ||| ZAPAZZP ||| AZPPZZP ||| 2
 ||| 烂 熳 笑 春 风 烂 熳 ||| -32.381831 -33.300527 ||| -31.339887 ||| ZAZPPZA ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 笑 春 风 ||| -38.819603 -31.699972 ||| -31.639395 ||| PPPZZPP ||| APAZZPP ||| 0
 ||| 施 朱 施 粉 浓 于 酒 ||| -43.721361 -29.151619 ||| -31.834654 ||| PPPZPPZ ||| APAZPPZ ||| 1
 ||| 照 水 凌 空 沆 瀣 清 ||| -34.596315 -32.721900 ||| -31.996765 ||| ZZPAZZP ||| AZPPZZP ||| 2
 ||| 凌 空 沆 瀣 清 溪 畔 ||| -34.163567 -33.583781 ||| -32.012590 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 施 朱 施 粉 绮 罗 丛 ||| -46.951477 -29.968388 ||| -32.368127 ||| PPPZZPP ||| APAZZPP ||| 0
 ||| 倾 国 倾 城 先 瑞 雪 ||| -37.638724 -36.012113 ||| -32.766138 ||| PZPPAZZ ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 艳 不 同 ||| -42.179532 -30.665169 ||| -32.769709 ||| PPPZZAA ||| APAZZPP ||| 0
 ||| 凌 空 沆 瀣 清 如 蜜 ||| -34.576545 -35.923479 ||| -32.927540 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 一 种 天 香 含 晓 露 ||| -34.172361 -33.032327 ||| -32.990844 ||| ZZPPPZZ ||| AZAPPZZ ||| 3
 ||| 照 日 凌 空 沆 瀣 清 ||| -36.428535 -33.184314 ||| -33.046234 ||| ZZPAZZP ||| AZPPZZP ||| 2
 ||| 临 风 烂 熳 绮 罗 丛 ||| -35.043789 -34.408277 ||| -33.053105 ||| PPZAZPP ||| APAZZPP ||| 0
 ||| 倾 国 倾 城 蜂 蝶 使 ||| -37.770736 -34.831707 ||| -33.102558 ||| PZPPPZZ ||| AZAPPZZ ||| 3
 ||| 十 分 春 色 比 祥 云 ||| -33.940154 -34.580189 ||| -33.127595 ||| ZAPZZPP ||| APAZZPP ||| 0
 ||| 凌 空 沆 瀣 清 微 雨 ||| -36.081055 -34.855167 ||| -33.339976 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 烂 熳 笑 春 风 灼 灼 ||| -32.312743 -37.319664 ||| -33.380218 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 笑 春 风 烂 熳 ||| -36.784128 -32.860972 ||| -33.432626 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 玉 佩 滴 金 盘 玉 佩 ||| -36.082373 -38.157816 ||| -33.708181 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 笑 春 风 烂 熳 ||| -35.923566 -33.761314 ||| -33.727848 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 烂 熳 笑 春 风 玉 佩 ||| -34.601867 -35.883696 ||| -33.767557 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 绮 罗 丛 烂 熳 ||| -37.425587 -35.986213 ||| -33.883253 ||| ZAZPPZA ||| AZAPPZZ ||| 3
 ||| 临 风 烂 熳 浓 于 酒 ||| -35.507717 -33.970871 ||| -33.931084 ||| PPZAPPZ ||| APAZPPZ ||| 1
 ||| 照 水 滴 金 盘 烂 熳 ||| -36.586877 -36.126727 ||| -34.012217 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 一 种 天 香 艳 不 同 ||| -35.905495 -32.958249 ||| -34.023605 ||| ZZPPZAA ||| AZPPZZP ||| 2
 ||| 玉 佩 滴 金 盘 烂 熳 ||| -36.358475 -37.816424 ||| -34.071115 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 照 水 滴 金 盘 玉 佩 ||| -36.732934 -36.468119 ||| -34.086813 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 乍 雨 乍 晴 蜂 蝶 使 ||| -41.638619 -33.229735 ||| -34.238095 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 神 液 ||| -35.452926 -40.095347 ||| -34.270075 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 倾 国 倾 城 微 醉 日 ||| -39.482471 -36.976439 ||| -34.513286 ||| PZPPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 笑 春 风 满 县 ||| -34.873616 -36.814557 ||| -34.545686 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 乍 雨 乍 晴 先 瑞 雪 ||| -38.665285 -36.761877 ||| -34.737653 ||| ZZZPAZZ ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 滴 金 盘 ||| -43.260283 -33.512072 ||| -34.797630 ||| PPPZZPP ||| APAZZPP ||| 0
 ||| 十 分 春 色 类 浣 纱 ||| -36.739418 -34.855970 ||| -34.872546 ||| ZAPZZAP ||| APAZZPP ||| 0
 ||| 凌 空 沆 瀣 清 疏 影 ||| -37.453647 -35.816860 ||| -34.881451 ||| PAZZPAZ ||| APAZPPZ ||| 1
 ||| 烂 熳 霞 脸 笑 春 风 ||| -38.002393 -39.753105 ||| -34.909441 ||| ZAPZZPP ||| APAZZPP ||| 0
 ||| 乍 雨 乍 晴 微 醉 日 ||| -38.690563 -37.592015 ||| -34.934903 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 绮 罗 丛 烂 熳 ||| -42.846979 -33.468846 ||| -35.020303 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 临 风 烂 熳 艳 不 同 ||| -36.238866 -36.618321 ||| -35.073346 ||| PPZAZAA ||| APAZZPP ||| 0
 ||| 烂 熳 绮 罗 丛 灼 灼 ||| -37.310433 -37.758937 ||| -35.086649 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 绮 罗 丛 烂 熳 ||| -41.317678 -36.447001 ||| -35.130543 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 临 风 烂 熳 无 双 艳 ||| -33.797168 -41.744847 ||| -35.172811 ||| PPZAPPZ ||| APAZPPZ ||| 1
 ||| 凌 空 沆 瀣 清 天 酒 ||| -37.569011 -36.918194 ||| -35.241147 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 拂 曙 氛 埃 敛 淡 红 ||| -38.128262 -38.061033 ||| -35.266396 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 十 分 春 色 凝 风 草 ||| -36.472741 -37.939436 ||| -35.276989 ||| ZAPZPPZ ||| APAZPPZ ||| 1
 ||| 临 风 烂 熳 滴 金 盘 ||| -36.636243 -36.546634 ||| -35.299173 ||| PPZAZPP ||| APAZZPP ||| 0
 ||| 临 风 烂 熳 通 仙 馆 ||| -36.134466 -37.239902 ||| -35.357814 ||| PPZAPPZ ||| APAZPPZ ||| 1
 ||| 烂 熳 笑 春 风 雨 濯 ||| -34.135777 -41.022076 ||| -35.369077 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 应 瑞 ||| -36.837457 -39.281148 ||| -35.452919 ||| PAZZPAZ ||| APAZPPZ ||| 1
 ||| 照 水 滴 金 盘 照 水 ||| -35.773970 -39.583921 ||| -35.463346 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 绮 罗 丛 玉 佩 ||| -36.637316 -39.328522 ||| -35.568161 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 笑 春 风 玉 佩 ||| -37.976770 -35.444142 ||| -35.634076 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 妖 娆 ||| -40.550051 -35.247426 ||| -35.644738 ||| PAZZPPA ||| APAZPPZ ||| 1
 ||| 玉 佩 笑 春 风 玉 佩 ||| -36.406381 -36.344484 ||| -35.663626 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 通 仙 馆 ||| -42.510853 -37.334299 ||| -35.756372 ||| PPPZPPZ ||| APAZPPZ ||| 1
 ||| 霞 脸 笑 春 风 烂 熳 ||| -42.636907 -34.641461 ||| -35.773737 ||| PZZPPZA ||| AZAPPZZ ||| 3
 ||| 倾 国 倾 城 类 浣 纱 ||| -40.720252 -36.722360 ||| -35.840744 ||| PZPPZAP ||| AZPPZZP ||| 2
 ||| 凌 空 沆 瀣 清 甘 溢 ||| -37.237125 -41.142091 ||| -35.874193 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 一 种 天 香 先 瑞 雪 ||| -35.890775 -39.306949 ||| -35.889800 ||| ZZPPAZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 村 落 ||| -38.554501 -37.227217 ||| -35.981588 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 烂 熳 多 情 上 玉 肌 ||| -34.539582 -41.167457 ||| -36.029051 ||| ZAPPZZP ||| AZPPZZP ||| 2
 ||| 玉 聚 凌 空 沆 瀣 清 ||| -37.599638 -38.256764 ||| -36.063083 ||| ZZPAZZP ||| AZPPZZP ||| 2
 ||| 拂 曙 氛 埃 敛 烂 熳 ||| -39.549375 -36.037986 ||| -36.086764 ||| ZZPPZZA ||| AZPPZZP ||| 2
 ||| 烂 熳 绮 罗 丛 映 日 ||| -37.933888 -40.377254 ||| -36.103378 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 施 朱 施 粉 比 祥 云 ||| -42.514030 -37.963419 ||| -36.114215 ||| PPPZZPP ||| APAZZPP ||| 0
 ||| 玉 佩 滴 金 盘 照 水 ||| -35.964474 -41.273619 ||| -36.141350 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 红 萼 ||| -39.018141 -37.649270 ||| -36.187727 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 凌 空 沆 瀣 清 红 艳 ||| -38.948339 -38.297618 ||| -36.252150 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 照 水 绮 罗 丛 映 日 ||| -40.810762 -37.859886 ||| -36.283056 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 拂 曙 氛 埃 敛 洛 阳 ||| -40.781747 -35.966487 ||| -36.370448 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 霞 脸 笑 春 风 和 气 ||| -43.052240 -35.584196 ||| -36.389515 ||| PZZPPAZ ||| AZAPPZZ ||| 3
 ||| 拂 曙 氛 埃 敛 华 池 ||| -42.436199 -34.643289 ||| -36.390621 ||| ZZPPZAP ||| AZPPZZP ||| 2
 ||| 拂 曙 氛 埃 敛 不 言 ||| -41.231397 -35.629696 ||| -36.445024 ||| ZZPPZAP ||| AZPPZZP ||| 2
 ||| 施 朱 施 粉 渐 流 霞 ||| -43.238055 -36.986382 ||| -36.450359 ||| PPPZAPP ||| APAZZPP ||| 0
 ||| 玉 佩 多 情 上 玉 肌 ||| -35.541982 -40.605753 ||| -36.471524 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 照 水 绮 罗 丛 灼 灼 ||| -42.571552 -35.241570 ||| -36.504918 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 笑 春 风 灼 灼 ||| -37.334233 -36.880109 ||| -36.578026 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 日 滴 金 盘 烂 熳 ||| -38.329725 -39.413113 ||| -36.580057 ||| ZZZPPZA ||| AZAPPZZ ||| 3
 ||| 拂 曙 氛 埃 敛 暖 风 ||| -40.074622 -38.242040 ||| -36.625262 ||| ZZPPZZP ||| AZPPZZP ||| 2
 ||| 照 日 滴 金 盘 玉 佩 ||| -38.938286 -39.754505 ||| -36.652055 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 照 水 笑 春 风 满 县 ||| -38.859047 -36.375002 ||| -36.669181 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 绮 罗 丛 灼 灼 ||| -41.113454 -38.219725 ||| -36.694439 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 笑 春 风 灼 灼 ||| -36.780230 -37.780451 ||| -36.746575 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 青 花 万 岁 笑 春 风 ||| -34.444142 -43.813879 ||| -36.749137 ||| PPZZZPP ||| APAZZPP ||| 0
 ||| 烂 熳 第 一 花 溪 畔 ||| -36.723162 -37.835681 ||| -36.788080 ||| ZAZZPPZ ||| APAZPPZ ||| 1
 ||| 一 种 天 香 蜂 蝶 使 ||| -38.641807 -36.484411 ||| -36.835538 ||| ZZPPPZZ ||| AZAPPZZ ||| 3
 ||| 烂 熳 笑 春 风 照 日 ||| -38.622521 -38.875591 ||| -36.942787 ||| ZAZPPZZ ||| AZAPPZZ ||| 3
 ||| 凌 空 沆 瀣 清 仁 泽 ||| -38.750356 -40.914360 ||| -37.005837 ||| PAZZPPZ ||| APAZPPZ ||| 1
 ||| 照 水 绮 罗 丛 玉 佩 ||| -41.066618 -36.811155 ||| -37.013430 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 玉 佩 笑 春 风 满 县 ||| -38.549755 -37.275344 ||| -37.023080 ||| ZZZPPZZ ||| AZAPPZZ ||| 3
 ||| 一 种 天 香 微 醉 日 ||| -37.704340 -38.726220 ||| -37.026703 ||| ZZPPPZZ ||| AZAPPZZ ||| 3
